id,uni,course,minTariff,maxTariff,postcode,minALevel,maxALevel
308,,,0,0,,"['B', 'B', 'C']","['B', 'B', 'C']"
309,,,0,0,,"['B', 'B', 'C']","['B', 'B', 'C']"
310,,,0,0,,"['B', 'B', 'C']","['B', 'B', 'C']"
311,Vogue College of Fashion,Fashion Communication & Industry Practice ,120,120,WC1B 3EE,"['B', 'B', 'B']","['B', 'B', 'B']"
312,,,0,0,,"['B', 'B', 'B']","['B', 'B', 'B']"
313,Walsall College,Pearson BTEC Level 4 Diploma in Film and Television ,96,96,WS2 8ES,"['C', 'C', 'C']","['C', 'C', 'C']"
314,University of Warwick,Accounting and Finance ,152,152,CV4 7AL,"['A*', 'A', 'A']","['A*', 'A', 'A']"
315,Warwickshire College and University Centre,Animal Behaviour and Training ,0,0,CV32 5JE,"['A*', 'A', 'A']","['A*', 'A', 'A']"
316,,,0,0,,"['A*', 'A', 'A']","['A*', 'A', 'A']"
317,,,0,0,,"['A*', 'A', 'A']","['A*', 'A', 'A']"
318,,,0,0,,"['A*', 'A', 'A']","['A*', 'A', 'A']"
319,,,0,0,,"['A*', 'A', 'A']","['A*', 'A', 'A']"
320,,,0,0,,"['A*', 'A', 'A']","['A*', 'A', 'A']"
321,,,0,0,,"['A*', 'A', 'A']","['A*', 'A', 'A']"
322,,,0,0,,"['A*', 'A', 'A']","['A*', 'A', 'A']"
323,,,0,0,,"['A*', 'A', 'A']","['A*', 'A', 'A']"
324,,,0,0,,"['A*', 'A', 'A']","['A*', 'A', 'A']"
325,,,0,0,,"['A*', 'A', 'A']","['A*', 'A', 'A']"
326,,,0,0,,"['A*', 'A', 'A']","['A*', 'A', 'A']"
327,,,0,0,,"['A*', 'A', 'A']","['A*', 'A', 'A']"
328,,,0,0,,"['A*', 'A', 'A']","['A*', 'A', 'A']"
329,,,0,0,,"['A*', 'A', 'A']","['A*', 'A', 'A']"
330,Wrexham University,Accounting and Finance ,0,0,LL11 2AW,"['A*', 'A', 'A']","['A*', 'A', 'A']"
331,Xenophon College London,Applied Computer Science ,0,0,TN25 5DA,"['A*', 'A', 'A']","['A*', 'A', 'A']"
332,Yeovil College University Centre,Business ,0,0,BA21 4DR,[],[]
333,York College & University Centre,3D Creative Practice (York School of Art) ,0,0,YO23 2BB,[],[]
334,York St John University,Accounting and Finance ,0,0,YO31 7EX,[],[]
335,University of York,Accounting and Finance ,136,136,YO10 5DD,"['A', 'A', 'B']","['A', 'A', 'B']"
336,New City College (incorporating Havering College),Integrative Counselling ,0,0,RM11 2LL,"['A', 'A', 'B']","['A', 'A', 'B']"
337,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
338,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
339,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
340,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
341,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
342,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
343,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
344,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
345,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
346,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
347,Liverpool School of Tropical Medicine,Humanitarian Studies (Taught),0,0,L3 5QA,"['A', 'A', 'B']","['A', 'A', 'B']"
348,"London Business School, University of London",Global Masters in Management (Taught),0,0,NW1 4SA,"['A', 'A', 'B']","['A', 'A', 'B']"
349,London Contemporary Dance School,"Dance: Participation, Communities, Activism (Taught)",0,0,WC1H 9AT,"['A', 'A', 'B']","['A', 'A', 'B']"
350,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
351,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
352,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
353,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
354,National Film and Television School,Assistant Directing and Floor Managing (Taught),0,0,HP9 1LG,"['A', 'A', 'B']","['A', 'A', 'B']"
355,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
356,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
357,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
358,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
359,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
360,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
361,University of Oxford,Advanced Computer Science (Taught),0,0,OX1 2JD,"['A', 'A', 'B']","['A', 'A', 'B']"
