SDZ21CD,SDZ21NM
N21000767,Downpatrick_G
N21000768,Downpatrick_H
N21000769,Downpatrick_J
N21000770,Downpatrick_K
N21000771,Comber_A
N21000772,Comber_B
N21000773,Comber_C
N21000774,Comber_D
N21000775,Comber_E
N21000776,Comber_F
N21000777,Comber_G
N21000778,Comber_H
N21000779,Newtownards_A
N21000780,Newtownards_B
N21000781,Newtownards_C
N21000782,Newtownards_D
N21000783,Newtownards_E
N21000784,Newtownards_F
N21000785,Newtownards_G
N21000786,Newtownards_H
N21000787,Newtownards_J
N21000788,Newtownards_K
N21000789,Newtownards_L
N21000790,Newtownards_N
N21000791,Newtownards_P
N21000792,Newtownards_Q
N21000793,Newtownards_R
N21000794,Newtownards_S
N21000795,Holywood_and_Clandeboye_A
N21000796,Holywood_and_Clandeboye_B
N21000797,Holywood_and_Clandeboye_C
N21000798,Holywood_and_Clandeboye_D
N21000799,Holywood_and_Clandeboye_E
N21000800,Holywood_and_Clandeboye_F
N21000801,Holywood_and_Clandeboye_G
N21000802,Holywood_and_Clandeboye_H
N21000803,Holywood_and_Clandeboye_J
N21000804,Holywood_and_Clandeboye_K
N21000805,Holywood_and_Clandeboye_L
N21000806,Bangor_West_A
N21000807,Bangor_West_B
N21000808,Bangor_West_C
N21000809,Bangor_West_D
N21000810,Bangor_West_E
N21000811,Bangor_West_F
N21000812,Bangor_West_G
N21000813,Bangor_West_H
N21000814,Bangor_West_J
N21000815,Bangor_Central_A
N21000816,Bangor_Central_B
N21000817,Bangor_Central_C
N21000818,Bangor_Central_D
N21000819,Bangor_Central_E
N21000820,Bangor_Central_F
N21000821,Bangor_Central_G
N21000822,Bangor_Central_H
N21000823,Bangor_Central_J
N21000824,Bangor_Central_K
N21000825,Bangor_Central_L
N21000826,Bangor_Central_N
N21000827,Bangor_Central_P
N21000828,Bangor_Central_Q
N21000829,Bangor_East_and_Donaghadee_A
N21000830,Bangor_East_and_Donaghadee_B
N21000831,Bangor_East_and_Donaghadee_C
N21000832,Bangor_East_and_Donaghadee_D
N21000833,Bangor_East_and_Donaghadee_E
N21000834,Bangor_East_and_Donaghadee_F
N21000835,Bangor_East_and_Donaghadee_G
N21000836,Bangor_East_and_Donaghadee_H
N21000837,Bangor_East_and_Donaghadee_J
N21000838,Bangor_East_and_Donaghadee_K
N21000839,Ards_Peninsula_A
N21000840,Ards_Peninsula_B
N21000841,Ards_Peninsula_C
N21000842,Ards_Peninsula_D
N21000843,Ards_Peninsula_E
N21000844,Ards_Peninsula_F
N21000845,Ards_Peninsula_G
N21000846,Ards_Peninsula_H
N21000847,Ards_Peninsula_J
N21000848,Ards_Peninsula_K
N21000849,Ards_Peninsula_L
N21000850,Ards_Peninsula_N
